title,description,url
"University of California, Riverside",UC Riverside is the nation’s leader for social mobility with a diverse & inclusive community pioneering research with impacts around the globe.,https://www.ucr.edu/
Privacy Statement," Last Revision Date: — May 5, 2023   Privacy Stance  The University of California (UC) system and the University of California, Riverside (UCR) respects the privacy of individuals. Privacy plays an important role in human dignity and is necessary for an ethical and respectful workplace. The right to privacy is declared in the California Constitution. Thus, the University continually strives for an appropriate balance between:",https://www.ucr.edu/privacy.html
Terms and Conditions of Use,"Please Read These Terms and Conditions of Use Carefully Before Using This Site By using this site and all other registered UCR web sites, referred to as ""these sites"", you agree to these terms of use. If you do not agree to these terms of use, please do not use this site.",https://www.ucr.edu/terms.html
Out-of-State,"UCR believes that out-of-state students add an important and valuable depth to our campus. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our dedicated resources will help you build your future! Sunny Southern California invites you to make the University of California, Riverside your home away from home.",https://admissions.ucr.edu/out-of-state
Giving,"Make a gift to UC Riverside! An education changes everything. As part of your charitable donations, you can support the education of students at America’s most transformational public university.",https://giving.ucr.edu/
Staff,"Staff members at UC Riverside take pride in working for an institution that continually creates meaningful experiences for all Highlanders — and is rising in the ranks of national prominence. UCR was ranked the fastest rising university in America by U.S. News in 2019 and in the Top 30 of institutions dedicated to the public good by Washington Monthly in 2018. We want to create something better — on our campus and beyond — and our inspiring and dedicated staff helps us do just that. Without a doubt, the work we do daily to create transformative change on local, national, and global scales could not be done without them. And just as our staff helps to build better tomorrows by supporting UCR’s mission of research, teaching, and public service, we empower them and encourage their success through our unwavering support, resources, and mentorship — and outstanding benefits. That includes being on a campus situated in an ideal locale for work-life balance: In addition to all the vibrant city of Riverside has to offer, it’s also just a short drive from exquisite mountains, desert, and the beach.",https://www.ucr.edu/staff
First Year,UC Riverside is ready to help you turn your passion into purpose. Our award-winning faculty will mentor you. Our diverse campus community will embrace you. And our first-year-specific resources will help you build your future!,https://admissions.ucr.edu/firstyear
Faculty,"Faculty at UC Riverside thrive within America’s most prestigious public university system — and on one of the most dynamic campuses in the nation. UCR was America’s fastest rising university, according to the U.S. News 2019 rankings, and placed among the top 1 percent of universities worldwide, according to the 2018-19 Center for World University Rankings.  Our faculty members educate and elevate our students, our future leaders, while simultaneously creating visionary solutions and conducting path-breaking research of their own to address the greatest challenges facing our community and world. We make sure they have the resources, support, and stimulation they need to persevere. Among our distinguished faculty are two Nobel Prize winners, and 13 members of the National Academies of Science and Medicine. In fact, we are one of fewer than 20 public U.S. universities to boast multiple Nobel Prize winners on our faculty.  Every day, our diverse faculty bring an entrepreneurial spirit to education, showcasing what a public university is capable of in the 21st century. Through their interdisciplinary mindsets and shared commitment to collaborative inquiry, they are effecting the kind of transformative change that proves no barriers are too great at UCR.  ",https://www.ucr.edu/faculty
Current Students,"At UC Riverside students of every background and ambition, from first-generation college-goers to dedicated graduate researchers, are encouraged to dream big — and achieve their dreams.  Our students make our campus community a great place to live, learn, and grow — sharing their ideas, identities, and sense of what’s possible to help propel us forward in the dynamic digital and cultural space of an increasingly interconnected world. UC Riverside offers its undergraduate students more than 80 majors, providing plenty of options to pursue the subject matter about which they are most passionate. And our drop-in tutoring and study lounges designed to accommodate a variety of learning styles, and impressive research library — one of the largest in the nation — ensure our students have everything they need to achieve their academic goals.",https://www.ucr.edu/current-students
SIR Today!,This page will be the new launch for the My.UCR.edu log-in.  ,https://iam.ucr.edu/sir
Australian fossil goldmine opens permanently,Land where a UC Riverside paleontology professor unearthed whole communities of Earth’s oldest animals is opening today to the public as a new national park in the Australian Outback. ,https://news.ucr.edu/articles/2023/04/26/australian-fossil-goldmine-opens-permanently
Undergraduate Admissions,Bold Hearts. Brilliant Minds.,https://admissions.ucr.edu/blog
AI programs consume large volumes of scarce water,UCR study the first time estimates the huge water footprint from running artificial intelligence queries that rely on the cloud computations done in racks of servers that must be kept cool in warehouse-sized data processing centers. ,https://news.ucr.edu/articles/2023/04/28/ai-programs-consume-large-volumes-scarce-water
Frequently Asked Questions,"Frequently asked questions about the application process and admission to UCR can be found here, along with helpful answers that explain the different stages and important components of becoming and being a UCR student. Find answers now!",https://admissions.ucr.edu/myucr
The College Tour,"Featuring ten UC Riverside students sharing their stories, The College Tour is a streaming series focused on colleges and universities across the United States.",https://admissions.ucr.edu/thecollegetour
Housing Services,Safety | Integrity | Inclusivity | Excellence,https://housing.ucr.edu/
Available Feeds,The following list are UCR's available feeds. These are RSS (Really Simple Syndication) feeds that allow for sharing and distributing web content. Readers can subscribe to our feeds.,https://news.ucr.edu/feeds
Frequent Asked Questions,"Would you like to know how to get involved with UCR, want to connect with fellow Highlanders in your area, or have questions about career services or membership–here’s a list of our most frequently asked questions. If you do not find the answer to your question listed within our FAQs, please contact us at 951-827-2586 or ucralum@ucr.edu.",https://alumni.ucr.edu/frequent-asked-questions
COVID Screening Check,"COVID Screening Check UC Riverside students, employees, and visitors are required to fill out the COVID Screening Check to report: ",https://campusreturn.ucr.edu/covid-screening-check
Face Coverings,Where to Get Masks Students: The Well is providing free masks and COVID-19 Wellness kits to UCR students. REQUEST MASKS OR WELLNESS KIT  Employees: Request free masks online from Environmental Health & Safety.,https://campusreturn.ucr.edu/face-coverings
Case Reporting and Investigation,"Who should report a confirmed positive case, exposure, or COVID-19 like symptoms?  All UCR faculty, staff, and students are required to report.",https://campusreturn.ucr.edu/case-reporting-and-investigation
Undergraduate Admissions Statement of Privacy Practices,"TRANSPARENCY REGARDING THE USE OF YOUR PERSONAL DATA As part of our commitment to protecting your privacy, this statement is designed to provide you with information regarding how UC Riverside (“UCR”) Undergraduate Admissions, part of UC Office of the President, collects and processes the information you share when you use our website located at admissions.ucr.edu, and each of its associated domains (together, the “Sites”), utilize the services of ours which include providing information to prospective UCR undergraduate applicant",https://admissions.ucr.edu/privacy-policy
Transfer Students: Say “Yes” to UCR by June 1,Admitted transfer students have until June 1 to say “yes” to UCR for fall 2021 and submit their Statement of Intent to Register (SIR).,https://admissions.ucr.edu/blog/2021/05/13/transfer-students-say-yes-ucr-june-1
Notable Alumni,"40 Under 40, UCR Launches Search for Innovative, Early-Career Alumni UCR's top-ranking education has given rise to a community of Highlander Alumni with exceptional career success, well-deserved accolades, and extraordinary achievements. The university has developed this new alumni recognition program to celebrate bold, industry-leading individuals working to change the world. The inaugural list will feature 40 of our exceptional alumni under the age of 40 and will be included in a special feature in the UCR Magazine issue for spring 2022.",https://alumni.ucr.edu/notable-alumni
Ways to Give,"With your support, UC Riverside can continue its upward momentum, improving education an",https://giving.ucr.edu/ways-give
UCR Helping Puentistas Get Ready to Transfer This Summer,"Held twice weekly throughout May and June, the Puente Connection Summer Series features webinars and networking events for community college students who are ready to transfer to a UC.",https://admissions.ucr.edu/blog/2021/05/17/ucr-helping-puentistas-get-ready-transfer-summer
Join Us as Students Take the Lead at UCR’s Slice of Life (Nov. 1–4),"Join us for Slice of Life at UCR, a student-led series of Instagram Live events for prospective first-year and transfer students. Current students and admission counselors will share what campus life is like, how to apply, and classes in real time (don’t worry, there aren’t any quizzes!). Plus, you could win an iPad 10.2” or AirPods Pro!",https://admissions.ucr.edu/blog/2021/10/22/join-us-students-take-lead-ucrs-slice-life-nov-1-4
Transfer to UCR in Winter 2022 — Apply July 1–31,Students can transfer to UC Riverside for winter 2022 by submitting an application from July 1–31.,https://admissions.ucr.edu/blog/2021/06/04/transfer-ucr-winter-2022-apply-july-1-31
Dining Services,Delicious | Nutritious | Sustainable,https://dining.ucr.edu/
Alumni Awards of Distinction,"ALUMNI AWARDS OF DISTINCTION Since 1986, the UCR Alumni Association has honored gr",https://alumni.ucr.edu/alumni-awards-distinction
New Five-Year Combined-Degree: Statistics B.S./M.S.,Apply for the B.S.+ 1 Statistics M.S. program before the start of your fourth year at UC Riverside and receive your master’s degree in statistics from our College of Natural and Agricultural Sciences.,https://admissions.ucr.edu/blog/2021/08/31/new-five-year-combined-degree-statistics-bsms
